,age
1770,1971
1771,2006
1772,1992
1773,1968
1774,1984
1775,1987
1776,1977
1777,1998
1778,2007
1779,1985
1780,1967
1781,2001
1782,1987
1783,2004
1784,2000
1785,2003
1786,1902
1787,2004
1788,2001
1789,2003
1790,2007
1791,2003
1792,2002
1793,2004
1794,2003
1795,1998
1796,2001
1797,2000
1798,1996
1799,2000
1800,2002
1801,2004
1802,1990
1803,1994
1804,1902
1805,1997
1806,2000
1807,2000
1808,2003
1809,2002
1810,2008
1811,2004
1812,2007
1813,2005
1814,2004
1815,2002
1816,1974
1817,1995
1818,2004
1819,1999
1820,1999
1821,1996
1822,2003
1823,2007
1824,2005
1825,1991
1826,2002
1827,1981
1828,1996
1829,1992
1830,1993
1831,2007
1832,1994
1833,1905
1834,2007
1835,1994
1836,2003
1837,1989
1838,2004
1839,1919
1840,1971
1841,1993
1842,2002
1843,1940
1844,1994
1845,1988
1846,2003
1847,1980
1848,2007
1849,1999
1850,1990
1851,2008
1852,1986
1853,1993
1854,1982
1855,1965
1856,1993
1857,1986
1858,1990
1859,1994
1860,1982
1861,1996
1862,1992
1863,2005
1864,1992
1865,1989
1866,1991
1867,1990
1868,1984
1869,1983
1870,1981
1871,1997
1872,1994
1873,1979
1874,2007
1875,2007
1876,1965
1877,1974
1878,2007
1879,2004
1880,2002
1881,2003
1882,2005
1883,2003
1884,2003
1885,2001
1886,2003
1887,2003
1888,2004
1889,2004
1890,2009
1891,2001
1892,2000
1893,2000
1894,2004
1895,2003
1896,2006
1897,2002
1898,2005
1899,1903
1900,2003
1901,1999
1902,2006
1903,1999
1904,1902
1905,2000
1906,2006
1907,1990
1908,2003
1909,1999
1910,1996
1911,2003
1912,2004
1913,1998
1914,2002
1915,1998
1916,1999
1917,2003
1918,1998
1919,1994
1920,2001
1921,1998
1922,1994
1923,1998
1924,2006
1925,1901
1926,2003
1927,2001
1928,2001
1929,2005
1930,1965
1931,1982
1932,1994
1933,1997
1934,1992
1935,1999
1936,1994
1937,1995
1938,1993
1939,2000
1940,2003
1941,1994
1942,1995
1943,1976
1944,1945
1945,1993
1946,1992
1947,1901
1948,2000
1949,1986
1950,1991
1951,1987
1952,1991
1953,1994
1954,1991
1955,1998
1956,1983
1957,2002
1958,1981
1959,1964
1960,1993
1961,1991
1962,1988
1963,2006
1964,1984
1965,1990
1966,1974
1967,2003
1968,2006
1969,1990
1970,1967
1971,1985
1972,1990
1973,2007
1974,2000
1975,1980
1976,1999
1977,2004
1978,2004
1979,1972
1980,2001
1981,2001
1982,2000
1983,2000
1984,2004
1985,2008
1986,2004
1987,2000
1988,2004
1989,2008
1990,1902
1991,2004
1992,2004
1993,2004
1994,2000
1995,2004
1996,1999
1997,1999
1998,1998
1999,2001
2000,2006
2001,1997
2002,1996
2003,2003
2004,2003
2005,2005
2006,2001
2007,1995
2008,1905
2009,2001
2010,2001
2011,1997
2012,1991
2013,2004
2014,2000
2015,1991
2016,2003
2017,1991
2018,2007
2019,1999
2020,2005
2021,1983
2022,1980
2023,2000
2024,2008
2025,1905
2026,1999
2027,2006
2028,1995
2029,1991
2030,2002
2031,1999
2032,2000
2033,1988
2034,2008
2035,2001
2036,2006
2037,2000
2038,1994
2039,2003
2040,1996
2041,1903
2042,1999
2043,2002
2044,1995
2045,2006
2046,2002
2047,2006
2048,1999
2049,1991
2050,1984
2051,2000
2052,2002
2053,1991
2054,1973
2055,1993
2056,1985
2057,1989
2058,1989
2059,1964
2060,1985
2061,1937
2062,1986
2063,1978
2064,1987
2065,1977
2066,1990
2067,1992
2068,2006
2069,1976
2070,1994
