,age
1506,1977
1507,1991
1508,1989
1509,1987
1510,1990
1511,1988
1512,1989
1513,1988
1514,1972
1515,1988
1516,1987
1517,1981
1518,1990
1519,1973
1520,1989
1521,1987
1522,1982
1523,1989
1524,1990
1525,1989
1526,1979
1527,1989
1528,1990
1529,1941
1530,1985
1531,1987
1532,1962
1533,1971
1534,2003
1535,2004
1536,2002
1537,2005
1538,2002
1539,2006
1540,2001
1541,2004
1542,2002
1543,2002
1544,1903
1545,2003
1546,2003
1547,2001
1548,2002
1549,2004
1550,1983
1551,1995
1552,1901
1553,2003
1554,1998
1555,2006
1556,2005
1557,2002
1558,1998
1559,1997
1560,2001
1561,2001
1562,2003
1563,2009
1564,2003
1565,1968
1566,1994
1567,1994
1568,1995
1569,1995
1570,2002
1571,1994
1572,1994
1573,1994
1574,1995
1575,2005
1576,2004
1577,1995
1578,2001
1579,1975
1580,2002
1581,1997
1582,1996
1583,1995
1584,1989
1585,1993
1586,1999
1587,1992
1588,1998
1589,1988
1590,1994
1591,1997
1592,1968
1593,1995
1594,1992
1595,2007
1596,1994
1597,1998
1598,1995
1599,1991
1600,1910
1601,1989
1602,1993
1603,1997
1604,1989
1605,1982
1606,1993
1607,1973
1608,2001
1609,1992
1610,1993
1611,1994
1612,1987
1613,1994
1614,1993
1615,1993
1616,1989
1617,1991
1618,1993
1619,1990
1620,1997
1621,1984
1622,1995
1623,1994
1624,1990
1625,1989
1626,1991
1627,1995
1628,1996
1629,1990
1630,1994
1631,1973
1632,1989
1633,1989
1634,1954
1635,2003
1636,1993
1637,1993
1638,1990
1639,1988
1640,1988
1641,1989
1642,1978
1643,1992
1644,1986
1645,1994
1646,2004
1647,1987
1648,1975
1649,1989
1650,1987
1651,1993
1652,1978
1653,1991
1654,1988
1655,1994
1656,1984
1657,1989
1658,1990
1659,1982
1660,2006
1661,1999
1662,2001
1663,2001
1664,1972
1665,2000
1666,2004
1667,2004
1668,2003
1669,1990
1670,2001
1671,2003
1672,1991
1673,2004
1674,2003
1675,1991
1676,2002
1677,1997
1678,2001
1679,2003
1680,1994
1681,2003
1682,2004
1683,2004
1684,2001
1685,2005
1686,2005
1687,2003
1688,2004
1689,2004
1690,2005
1691,2003
1692,2003
1693,1989
1694,2006
1695,1978
1696,2000
1697,2005
1698,2007
1699,2004
1700,2001
1701,1997
1702,1998
1703,1994
1704,2001
1705,2000
1706,1996
1707,2003
1708,1988
1709,1994
1710,1994
1711,1981
1712,2008
1713,1998
1714,1956
1715,2000
1716,1994
1717,1998
1718,1999
1719,1990
1720,2002
1721,1998
1722,1993
1723,2005
1724,1993
1725,1995
1726,1995
1727,1998
1728,1964
1729,1989
1730,1996
1731,1992
1732,1996
1733,1994
1734,1996
1735,2005
1736,1995
1737,1995
1738,1995
1739,1992
1740,1993
1741,1991
1742,1977
1743,1995
1744,1996
1745,1997
1746,1991
1747,1994
1748,1993
1749,1995
1750,2004
1751,1990
1752,1977
1753,2000
1754,1995
1755,1993
1756,1991
1757,1999
1758,1990
1759,1991
1760,1995
1761,1989
1762,1989
1763,1949
1764,1992
1765,1991
1766,1994
1767,1993
1768,1989
1769,1993
1770,1993
1771,1993
1772,1986
1773,1992
1774,1989
1775,1992
1776,1984
1777,1986
1778,1984
1779,1989
1780,1974
1781,1987
1782,1988
1783,1989
1784,1988
1785,1987
1786,1957
1787,1989
1788,1988
1789,1989
1790,2005
1791,1986
1792,1976
1793,1956
1794,1959
1795,1972
1796,1998
1797,1980
1798,1962
1799,2005
1800,2001
1801,1995
1802,1993
1803,2005
1804,2006
1805,2002
1806,2001
1807,2004
1808,2005
1809,2004
1810,2005
1811,2003
1812,2006
1813,2002
1814,2004
1815,2002
1816,2004
1817,2001
1818,1988
1819,2004
1820,2003
1821,1988
1822,2004
1823,1989
1824,2002
1825,2003
1826,2003
1827,2003
1828,2002
1829,2002
1830,2000
1831,1999
1832,2002
1833,2000
1834,2003
1835,2002
1836,1998
1837,2002
1838,2002
1839,2002
1840,2009
1841,2000
1842,2001
1843,1989
1844,1995
1845,2002
1846,1999
1847,1998
1848,2001
1849,2000
1850,1995
1851,2000
1852,2007
1853,1994
1854,1963
1855,1993
1856,2002
1857,1999
1858,1997
1859,1996
1860,2002
1861,1992
1862,1997
1863,2001
1864,1995
1865,1998
1866,1992
1867,1975
1868,2001
1869,1998
1870,1969
1871,1993
1872,1992
1873,1990
1874,1998
1875,1999
1876,1993
1877,1988
1878,1998
1879,1996
1880,1993
1881,2003
1882,1994
1883,1999
1884,2001
1885,1996
1886,1995
1887,1998
1888,1994
1889,1996
1890,1998
1891,1995
1892,1996
1893,1992
1894,1991
1895,1993
1896,1991
1897,1993
1898,1995
1899,2002
1900,1978
1901,1990
1902,1992
1903,1993
1904,2000
1905,1990
1906,1991
1907,1992
1908,1989
1909,1990
1910,1991
1911,1991
1912,1992
1913,1991
1914,1994
1915,1948
1916,1989
1917,1993
1918,1994
1919,1993
1920,1990
1921,1992
1922,1980
1923,1984
1924,1977
1925,1991
1926,1989
1927,1986
1928,1999
1929,1968
1930,1975
1931,1961
1932,1978
1933,1997
1934,1992
1935,1979
1936,1992
1937,1979
1938,1990
1939,1986
1940,1986
1941,1962
1942,1987
1943,1988
1944,1990
1945,1989
1946,1983
1947,1988
1948,1993
1949,1989
1950,1988
1951,1982
1952,1989
1953,1951
1954,1990
1955,1951
1956,2002
1957,2008
1958,2002
1959,2004
1960,1998
1961,1998
1962,2006
1963,2002
1964,2005
1965,2002
1966,1998
1967,2001
1968,1998
1969,1992
1970,1999
1971,1992
1972,2001
1973,2002
